Frame         Time          Elec          VdW           Nonbond       Total         
219           219           +0            -335.669      -335.669      -335.669      
220           220           +0            -349.222      -349.222      -349.222      
221           221           +0            -357.847      -357.847      -357.847      
222           222           +0            -349.213      -349.213      -349.213      
223           223           +0            -335.736      -335.736      -335.736      
224           224           +0            -338.577      -338.577      -338.577      
225           225           +0            -339.412      -339.412      -339.412      
226           226           +0            -351.125      -351.125      -351.125      
227           227           +0            -337.511      -337.511      -337.511      
228           228           +0            -329.46       -329.46       -329.46       
229           229           +0            -363.122      -363.122      -363.122      
230           230           +0            -350.513      -350.513      -350.513      
231           231           +0            -338.352      -338.352      -338.352      
232           232           +0            -355.984      -355.984      -355.984      
233           233           +0            -344.571      -344.571      -344.571      
234           234           +0            -344.258      -344.258      -344.258      
235           235           +0            -333.842      -333.842      -333.842      
236           236           +0            -344.482      -344.482      -344.482      
237           237           +0            -340.434      -340.434      -340.434      
238           238           +0            -331.899      -331.899      -331.899      
239           239           +0            -355.267      -355.267      -355.267      
240           240           +0            -333.972      -333.972      -333.972      
241           241           +0            -339.344      -339.344      -339.344      
242           242           +0            -340.519      -340.519      -340.519      
243           243           +0            -350.519      -350.519      -350.519      
244           244           +0            -339.378      -339.378      -339.378      
245           245           +0            -329.837      -329.837      -329.837      
246           246           +0            -345.9        -345.9        -345.9        
247           247           +0            -331.5        -331.5        -331.5        
248           248           +0            -337.615      -337.615      -337.615      
249           249           +0            -342.566      -342.566      -342.566      
250           250           +0            -328.933      -328.933      -328.933      
251           251           +0            -321.921      -321.921      -321.921      
252           252           +0            -344.485      -344.485      -344.485      
253           253           +0            -336.428      -336.428      -336.428      
254           254           +0            -337.598      -337.598      -337.598      
255           255           +0            -330.495      -330.495      -330.495      
256           256           +0            -324.5        -324.5        -324.5        
257           257           +0            -341.693      -341.693      -341.693      
258           258           +0            -354.245      -354.245      -354.245      
259           259           +0            -342.576      -342.576      -342.576      
260           260           +0            -329.768      -329.768      -329.768      
261           261           +0            -358.257      -358.257      -358.257      
262           262           +0            -321.185      -321.185      -321.185      
263           263           +0            -352.183      -352.183      -352.183      
264           264           +0            -337.748      -337.748      -337.748      
265           265           +0            -335.459      -335.459      -335.459      
266           266           +0            -339.054      -339.054      -339.054      
267           267           +0            -316.325      -316.325      -316.325      
268           268           +0            -353.979      -353.979      -353.979      
269           269           +0            -340.212      -340.212      -340.212      
270           270           +0            -350.455      -350.455      -350.455      
271           271           +0            -331.021      -331.021      -331.021      
272           272           +0            -341.725      -341.725      -341.725      
273           273           +0            -324.459      -324.459      -324.459      
274           274           +0            -343.852      -343.852      -343.852      
275           275           +0            -334.919      -334.919      -334.919      
276           276           +0            -345.02       -345.02       -345.02       
277           277           +0            -336.736      -336.736      -336.736      
278           278           +0            -344.498      -344.498      -344.498      
279           279           +0            -329.173      -329.173      -329.173      
280           280           +0            -345.168      -345.168      -345.168      
281           281           +0            -341.202      -341.202      -341.202      
282           282           +0            -360.582      -360.582      -360.582      
283           283           +0            -356.396      -356.396      -356.396      
284           284           +0            -334.596      -334.596      -334.596      
285           285           +0            -355.159      -355.159      -355.159      
286           286           +0            -350.253      -350.253      -350.253      
287           287           +0            -349.792      -349.792      -349.792      
288           288           +0            -319.426      -319.426      -319.426      
289           289           +0            -338.692      -338.692      -338.692      
290           290           +0            -345.189      -345.189      -345.189      
291           291           +0            -342.777      -342.777      -342.777      
292           292           +0            -327.216      -327.216      -327.216      
293           293           +0            -341.775      -341.775      -341.775      
294           294           +0            -329.418      -329.418      -329.418      
295           295           +0            -323.372      -323.372      -323.372      
296           296           +0            -357.89       -357.89       -357.89       
297           297           +0            -337.865      -337.865      -337.865      
298           298           +0            -337.258      -337.258      -337.258      
299           299           +0            -357.793      -357.793      -357.793      
300           300           +0            -330.883      -330.883      -330.883      
301           301           +0            -335.387      -335.387      -335.387      
302           302           +0            -346.208      -346.208      -346.208      
303           303           +0            -339.126      -339.126      -339.126      
304           304           +0            -358.507      -358.507      -358.507      
305           305           +0            -327.9        -327.9        -327.9        
306           306           +0            -348.133      -348.133      -348.133      
307           307           +0            -352.849      -352.849      -352.849      
308           308           +0            -357.645      -357.645      -357.645      
309           309           +0            -353.04       -353.04       -353.04       
310           310           +0            -338.507      -338.507      -338.507      
311           311           +0            -332.839      -332.839      -332.839      
312           312           +0            -357.407      -357.407      -357.407      
313           313           +0            -358.818      -358.818      -358.818      
314           314           +0            -357.39       -357.39       -357.39       
315           315           +0            -328.711      -328.711      -328.711      
316           316           +0            -333.31       -333.31       -333.31       
317           317           +0            -347.741      -347.741      -347.741      
318           318           +0            -340.08       -340.08       -340.08       
319           319           +0            -345.085      -345.085      -345.085      
320           320           +0            -337.239      -337.239      -337.239      
321           321           +0            -349.23       -349.23       -349.23       
322           322           +0            -321.755      -321.755      -321.755      
323           323           +0            -339.209      -339.209      -339.209      
324           324           +0            -334.875      -334.875      -334.875      
325           325           +0            -337.898      -337.898      -337.898      
326           326           +0            -353.168      -353.168      -353.168      
327           327           +0            -330.001      -330.001      -330.001      
328           328           +0            -352.569      -352.569      -352.569      
329           329           +0            -354.067      -354.067      -354.067      
330           330           +0            -358.32       -358.32       -358.32       
331           331           +0            -337.195      -337.195      -337.195      
332           332           +0            -355.818      -355.818      -355.818      
333           333           +0            -326.181      -326.181      -326.181      
334           334           +0            -321.268      -321.268      -321.268      
335           335           +0            -340.774      -340.774      -340.774      
336           336           +0            -342.199      -342.199      -342.199      
337           337           +0            -346.86       -346.86       -346.86       
338           338           +0            -352.705      -352.705      -352.705      
339           339           +0            -328.745      -328.745      -328.745      
340           340           +0            -340.653      -340.653      -340.653      
341           341           +0            -341.938      -341.938      -341.938      
342           342           +0            -331.351      -331.351      -331.351      
343           343           +0            -340.129      -340.129      -340.129      
344           344           +0            -336.35       -336.35       -336.35       
345           345           +0            -354.483      -354.483      -354.483      
346           346           +0            -339.917      -339.917      -339.917      
347           347           +0            -350.047      -350.047      -350.047      
348           348           +0            -344.714      -344.714      -344.714      
349           349           +0            -332.651      -332.651      -332.651      
350           350           +0            -353.913      -353.913      -353.913      
351           351           +0            -331.955      -331.955      -331.955      
352           352           +0            -346.237      -346.237      -346.237      
353           353           +0            -341.528      -341.528      -341.528      
354           354           +0            -347.018      -347.018      -347.018      
355           355           +0            -347.902      -347.902      -347.902      
356           356           +0            -345.026      -345.026      -345.026      
357           357           +0            -363.431      -363.431      -363.431      
358           358           +0            -319.221      -319.221      -319.221      
359           359           +0            -325.586      -325.586      -325.586      
360           360           +0            -331.371      -331.371      -331.371      
361           361           +0            -342.181      -342.181      -342.181      
362           362           +0            -345.624      -345.624      -345.624      
363           363           +0            -344.956      -344.956      -344.956      
364           364           +0            -335.659      -335.659      -335.659      
365           365           +0            -340.17       -340.17       -340.17       
366           366           +0            -346.899      -346.899      -346.899      
367           367           +0            -348.202      -348.202      -348.202      
368           368           +0            -339.376      -339.376      -339.376      
369           369           +0            -353.56       -353.56       -353.56       
370           370           +0            -333.523      -333.523      -333.523      
371           371           +0            -339.579      -339.579      -339.579      
372           372           +0            -351.957      -351.957      -351.957      
373           373           +0            -345.55       -345.55       -345.55       
374           374           +0            -339.108      -339.108      -339.108      
375           375           +0            -353.758      -353.758      -353.758      
376           376           +0            -343.744      -343.744      -343.744      
377           377           +0            -334.415      -334.415      -334.415      
378           378           +0            -330.205      -330.205      -330.205      
379           379           +0            -334.046      -334.046      -334.046      
380           380           +0            -348.958      -348.958      -348.958      
381           381           +0            -352.914      -352.914      -352.914      
382           382           +0            -354.981      -354.981      -354.981      
383           383           +0            -333.564      -333.564      -333.564      
384           384           +0            -348.981      -348.981      -348.981      
385           385           +0            -348.639      -348.639      -348.639      
386           386           +0            -331.26       -331.26       -331.26       
387           387           +0            -340.359      -340.359      -340.359      
388           388           +0            -339.951      -339.951      -339.951      
389           389           +0            -333.729      -333.729      -333.729      
390           390           +0            -346.853      -346.853      -346.853      
391           391           +0            -348.05       -348.05       -348.05       
392           392           +0            -348.949      -348.949      -348.949      
393           393           +0            -330.999      -330.999      -330.999      
394           394           +0            -344.291      -344.291      -344.291      
395           395           +0            -307.45       -307.45       -307.45       
396           396           +0            -317.277      -317.277      -317.277      
397           397           +0            -348.435      -348.435      -348.435      
398           398           +0            -347.786      -347.786      -347.786      
399           399           +0            -356.024      -356.024      -356.024      
400           400           +0            -349.539      -349.539      -349.539      
401           401           +0            -330.699      -330.699      -330.699      
402           402           +0            -319.028      -319.028      -319.028      
403           403           +0            -346.067      -346.067      -346.067      
404           404           +0            -335.058      -335.058      -335.058      
405           405           +0            -330.974      -330.974      -330.974      
406           406           +0            -322.634      -322.634      -322.634      
407           407           +0            -333.059      -333.059      -333.059      
408           408           +0            -323.977      -323.977      -323.977      
409           409           +0            -340.528      -340.528      -340.528      
410           410           +0            -338.54       -338.54       -338.54       
411           411           +0            -334.048      -334.048      -334.048      
412           412           +0            -348.498      -348.498      -348.498      
413           413           +0            -331.862      -331.862      -331.862      
414           414           +0            -361.785      -361.785      -361.785      
415           415           +0            -336.625      -336.625      -336.625      
416           416           +0            -348.916      -348.916      -348.916      
417           417           +0            -357.712      -357.712      -357.712      
418           418           +0            -369.924      -369.924      -369.924      
419           419           +0            -327.12       -327.12       -327.12       
420           420           +0            -345.039      -345.039      -345.039      
421           421           +0            -338.684      -338.684      -338.684      
422           422           +0            -343.722      -343.722      -343.722      
423           423           +0            -339.33       -339.33       -339.33       
424           424           +0            -348.008      -348.008      -348.008      
425           425           +0            -343.803      -343.803      -343.803      
426           426           +0            -348.314      -348.314      -348.314      
427           427           +0            -343.667      -343.667      -343.667      
428           428           +0            -330.97       -330.97       -330.97       
429           429           +0            -341.749      -341.749      -341.749      
430           430           +0            -336.754      -336.754      -336.754      
431           431           +0            -331.613      -331.613      -331.613      
432           432           +0            -338.564      -338.564      -338.564      
433           433           +0            -356.117      -356.117      -356.117      
434           434           +0            -328.574      -328.574      -328.574      
435           435           +0            -370.032      -370.032      -370.032      
436           436           +0            -335.973      -335.973      -335.973      
437           437           +0            -336.99       -336.99       -336.99       
438           438           +0            -337.873      -337.873      -337.873      
439           439           +0            -334.363      -334.363      -334.363      
440           440           +0            -349.14       -349.14       -349.14       
441           441           +0            -346.359      -346.359      -346.359      
442           442           +0            -349.435      -349.435      -349.435      
443           443           +0            -325.007      -325.007      -325.007      
444           444           +0            -320.004      -320.004      -320.004      
445           445           +0            -331.461      -331.461      -331.461      
446           446           +0            -343.251      -343.251      -343.251      
447           447           +0            -339.245      -339.245      -339.245      
448           448           +0            -335.387      -335.387      -335.387      
449           449           +0            -335.371      -335.371      -335.371      
450           450           +0            -329.401      -329.401      -329.401      
451           451           +0            -329.04       -329.04       -329.04       
452           452           +0            -351.29       -351.29       -351.29       
453           453           +0            -345.308      -345.308      -345.308      
454           454           +0            -356.383      -356.383      -356.383      
455           455           +0            -330.45       -330.45       -330.45       
456           456           +0            -337.31       -337.31       -337.31       
457           457           +0            -346.174      -346.174      -346.174      
458           458           +0            -345.473      -345.473      -345.473      
459           459           +0            -341.174      -341.174      -341.174      
460           460           +0            -340.157      -340.157      -340.157      
461           461           +0            -331.704      -331.704      -331.704      
462           462           +0            -336.228      -336.228      -336.228      
463           463           +0            -355.345      -355.345      -355.345      
464           464           +0            -346.611      -346.611      -346.611      
465           465           +0            -348.111      -348.111      -348.111      
466           466           +0            -330.709      -330.709      -330.709      
467           467           +0            -330.081      -330.081      -330.081      
468           468           +0            -317.313      -317.313      -317.313      
469           469           +0            -333.508      -333.508      -333.508      
470           470           +0            -363.276      -363.276      -363.276      
471           471           +0            -334.666      -334.666      -334.666      
472           472           +0            -339.605      -339.605      -339.605      
473           473           +0            -325.366      -325.366      -325.366      
474           474           +0            -342.415      -342.415      -342.415      
475           475           +0            -349.38       -349.38       -349.38       
476           476           +0            -334.504      -334.504      -334.504      
477           477           +0            -343.872      -343.872      -343.872      
478           478           +0            -343.421      -343.421      -343.421      
479           479           +0            -356.482      -356.482      -356.482      
480           480           +0            -336.332      -336.332      -336.332      
481           481           +0            -346.514      -346.514      -346.514      
482           482           +0            -351.063      -351.063      -351.063      
483           483           +0            -341.017      -341.017      -341.017      
484           484           +0            -349.55       -349.55       -349.55       
485           485           +0            -330.438      -330.438      -330.438      
486           486           +0            -350.698      -350.698      -350.698      
487           487           +0            -331.201      -331.201      -331.201      
488           488           +0            -340.666      -340.666      -340.666      
489           489           +0            -334.781      -334.781      -334.781      
490           490           +0            -357.992      -357.992      -357.992      
491           491           +0            -349.936      -349.936      -349.936      
492           492           +0            -332.462      -332.462      -332.462      
493           493           +0            -334.045      -334.045      -334.045      
494           494           +0            -360.689      -360.689      -360.689      
495           495           +0            -330.291      -330.291      -330.291      
496           496           +0            -331.332      -331.332      -331.332      
497           497           +0            -334.982      -334.982      -334.982      
498           498           +0            -330.626      -330.626      -330.626      
499           499           +0            -333.92       -333.92       -333.92       
500           500           +0            -346.818      -346.818      -346.818      
501           501           +0            -340.809      -340.809      -340.809      
502           502           +0            -359.688      -359.688      -359.688      
503           503           +0            -332.365      -332.365      -332.365      
504           504           +0            -352.43       -352.43       -352.43       
505           505           +0            -361.962      -361.962      -361.962      
