Frame         Time          Elec          VdW           Nonbond       Total         
235           235           +0            -320.946      -320.946      -320.946      
236           236           +0            -330.674      -330.674      -330.674      
237           237           +0            -327.791      -327.791      -327.791      
238           238           +0            -321.816      -321.816      -321.816      
239           239           +0            -321.513      -321.513      -321.513      
240           240           +0            -318.394      -318.394      -318.394      
241           241           +0            -324.107      -324.107      -324.107      
242           242           +0            -312.315      -312.315      -312.315      
243           243           +0            -316.661      -316.661      -316.661      
244           244           +0            -315.603      -315.603      -315.603      
245           245           +0            -320.938      -320.938      -320.938      
246           246           +0            -314.724      -314.724      -314.724      
247           247           +0            -327.308      -327.308      -327.308      
248           248           +0            -316.98       -316.98       -316.98       
249           249           +0            -316.046      -316.046      -316.046      
250           250           +0            -321.862      -321.862      -321.862      
251           251           +0            -321.175      -321.175      -321.175      
252           252           +0            -311.948      -311.948      -311.948      
253           253           +0            -308.34       -308.34       -308.34       
254           254           +0            -314.451      -314.451      -314.451      
255           255           +0            -326.029      -326.029      -326.029      
256           256           +0            -313.584      -313.584      -313.584      
257           257           +0            -317.651      -317.651      -317.651      
258           258           +0            -319.129      -319.129      -319.129      
259           259           +0            -326.225      -326.225      -326.225      
260           260           +0            -321.295      -321.295      -321.295      
261           261           +0            -319.597      -319.597      -319.597      
262           262           +0            -311.202      -311.202      -311.202      
263           263           +0            -315.065      -315.065      -315.065      
264           264           +0            -309.145      -309.145      -309.145      
265           265           +0            -310.144      -310.144      -310.144      
266           266           +0            -330.168      -330.168      -330.168      
267           267           +0            -309.738      -309.738      -309.738      
268           268           +0            -335.55       -335.55       -335.55       
269           269           +0            -306.865      -306.865      -306.865      
270           270           +0            -297.251      -297.251      -297.251      
271           271           +0            -331.39       -331.39       -331.39       
272           272           +0            -327.902      -327.902      -327.902      
273           273           +0            -325.367      -325.367      -325.367      
274           274           +0            -333.03       -333.03       -333.03       
275           275           +0            -333.937      -333.937      -333.937      
276           276           +0            -327.839      -327.839      -327.839      
277           277           +0            -321.45       -321.45       -321.45       
278           278           +0            -330.479      -330.479      -330.479      
279           279           +0            -328.408      -328.408      -328.408      
280           280           +0            -335.171      -335.171      -335.171      
281           281           +0            -330.17       -330.17       -330.17       
282           282           +0            -337.239      -337.239      -337.239      
283           283           +0            -342.525      -342.525      -342.525      
284           284           +0            -325.665      -325.665      -325.665      
285           285           +0            -339.869      -339.869      -339.869      
286           286           +0            -320.375      -320.375      -320.375      
287           287           +0            -312.561      -312.561      -312.561      
288           288           +0            -326.977      -326.977      -326.977      
289           289           +0            -332.442      -332.442      -332.442      
290           290           +0            -325.77       -325.77       -325.77       
291           291           +0            -335.215      -335.215      -335.215      
292           292           +0            -329.392      -329.392      -329.392      
293           293           +0            -324.355      -324.355      -324.355      
294           294           +0            -330.746      -330.746      -330.746      
295           295           +0            -334.177      -334.177      -334.177      
296           296           +0            -318.796      -318.796      -318.796      
297           297           +0            -317.393      -317.393      -317.393      
298           298           +0            -332.359      -332.359      -332.359      
299           299           +0            -335.185      -335.185      -335.185      
300           300           +0            -340.974      -340.974      -340.974      
301           301           +0            -345.074      -345.074      -345.074      
302           302           +0            -334.464      -334.464      -334.464      
303           303           +0            -335.619      -335.619      -335.619      
304           304           +0            -322.613      -322.613      -322.613      
305           305           +0            -331.356      -331.356      -331.356      
306           306           +0            -339.953      -339.953      -339.953      
307           307           +0            -305.574      -305.574      -305.574      
308           308           +0            -334.96       -334.96       -334.96       
309           309           +0            -327.659      -327.659      -327.659      
310           310           +0            -336.041      -336.041      -336.041      
311           311           +0            -310.147      -310.147      -310.147      
312           312           +0            -328.852      -328.852      -328.852      
313           313           +0            -323.452      -323.452      -323.452      
314           314           +0            -335.736      -335.736      -335.736      
315           315           +0            -336.02       -336.02       -336.02       
316           316           +0            -327.926      -327.926      -327.926      
