Frame         Time          Elec          VdW           Nonbond       Total         
517           517           +0            -375.764      -375.764      -375.764      
518           518           +0            -349.93       -349.93       -349.93       
519           519           +0            -391.5        -391.5        -391.5        
520           520           +0            -370.458      -370.458      -370.458      
521           521           +0            -364.741      -364.741      -364.741      
522           522           +0            -359.283      -359.283      -359.283      
523           523           +0            -348.589      -348.589      -348.589      
524           524           +0            -371.085      -371.085      -371.085      
525           525           +0            -360.994      -360.994      -360.994      
526           526           +0            -359.115      -359.115      -359.115      
527           527           +0            -388.29       -388.29       -388.29       
528           528           +0            -369.196      -369.196      -369.196      
